,sentence,sentiment
0,according to the company has no plans to move all production to russia although that is where the company is growing,neutral
1,for the last quarter of s net sales doubled to from for the same period a year earlier while it moved to a zero pretax profit from a pretax loss of,positive
2,in the third quarter of net sales increased by to mn and operating profit by to mn,positive
3,operating profit rose to mn from mn in the corresponding period in representing of net sales,positive
4,operating profit totalled mn up from mn in representing of net sales,positive
5,finnish reports its operating profit increased to mn in from mn in and net sales totaled mn up from mn,positive
6,clothing retail chain s sales increased by to mn and operating profit rose to mn from mn in,positive
7,consolidated net sales increased to reach m while operating profit amounted to m compared to a loss of m in the prior year period,positive
8,foundries division reports its sales increased by to mn from mn in the corresponding period in and sales of the machine shop division increased by to mn from mn in the corresponding period in,positive
9,helsinki shares closed higher led by after it announced plans to team up with to manufacture g handsets and by tyres after its earnings report beat analysts expectations dealers said,positive
10,its board of directors will propose a dividend of per share for up from the per share paid in,positive
11,s subscriber base increased in to million users as of december while its market share by the number of customers amounted to as of late up from as of late according to estimates,positive
12,net income from life insurance doubled to mn from mn and net income from nonlife insurance rose to mn from mn in the corresponding period in,positive
13,net sales increased to m from m and pretax profit rose by to m,positive
14,net sales surged by to m said that m or of the sales came from the acquisitions made in,positive
15,group s operating profit increased in by percent to billion euros and total revenue by percent to billion euros,positive
16,operating profit for the period increased from m while net sales increased from m as compared to the corresponding period in,positive
17,operating profit for the period increased from m while revenue increased from m as compared to the corresponding period in,positive
18,the company s net profit rose on the year to million euros in on sales of million euros up on the year the company said earlier,positive
19,the lithuanian beer market made up million liters in january a rise of percent from the figure the lithuanian brewers association reporting citing the results from its members,positive
20,viking line s cargo revenue increased by to mn and cargo volume increased by to cargo units,positive
21,the fair value of the property portfolio doubled as a result of the acquisition and totalled million,positive
22,february finnish media company hel said yesterday its net profit almost tripled to m from m for and announced a proposal for a raised payout,positive
23,a helsinki today reported of for an increase over of in,positive
24,commission income increased by to mn and lending volume rose by,positive
25,in january traffic measured in revenue passenger went up by and capacity measured in available seat ask rose by,positive
26,in net profit went up by to million and net sales to million from million,positive
27,net income from life insurance rose to mn from mn and net income from nonlife insurance to mn from mn in,positive
28,sales have risen in other export markets,positive
29,sales increased due to growing market rates and increased operations,positive
30,the agreement strengthens our partnership with siemens networks,positive
31,the company s order book stood at euro on september up by pct on the year with international orders amounting to euro,positive
32,the company said that paper demand increased in all of its main markets including of publication papers and that it increased average paper prices by percent compared with last year,positive
