,sentence,sentiment
0,the technology will leverage s gps solutions by providing location based search technology a communities platform location relevant multimedia content and a new and powerful commercial model,positive
1,on lows down to bk a real possibility,negative
2,for the last quarter of s net sales doubled to from for the same period a year earlier while it moved to a zero pretax profit from a pretax loss of,positive
3,according to the chamber of commerce all the major construction companies of finland are operating in russia,neutral
4,the swedish buyout firm has sold its remaining percent stake almost eighteen months after taking the company public in finland,neutral
5,spy wouldnt be surprised to see a green close,positive
6,shells billion bg deal meets shareholder skepticism,negative
7,communications security corp stock exchange release october at pm the company updates its full year outlook and estimates its results to remain at loss for the full year,negative
8,s net sales rose by some in the first nine months of,positive
9,the department store will have a total floor space of over square metres and s investment in the project will have a price tag of about million,neutral
10,circulation revenue has increased by in finland and in sweden in,positive
11,sap q disappoints as software licenses down real problem cloud growth trails goog,negative
12,the subdivision made sales revenues last year of million million in and operating profits of million million,positive
13,viking line has canceled some services,neutral
14,corporation stock exchange announcement at a total of new shares of corporation have been subscribed with option rights under the company s stock option programs i and ii,neutral
15,fb gone green on day,positive
16,server revenue grew with server premium revenue growing over,positive
17,according to s matti the company aims to deliver fish products to its customers a day earlier than it currently does,neutral
18,the company s share is quoted on helsinki,neutral
19,se is listed on the helsinki,neutral
20,two of these contracts are for turntable anode that will be delivered to aluminum co and another unnamed costumer,neutral
21,friends life top forecasts ahead of billion pound merger,positive
22,in stead of being based on a soft drink as is usual the energy drink is made with fresh water,neutral
23,the company plans to increase the unit s specialist staff to several dozen depending on the market situation during,neutral
24,the company closed last year with a turnover of about four million euros,neutral
25,shire steps up drive to get board talking,positive
26,a premier retail dividend play cost,positive
27,the building will have a gross floor area of about sq m it will also include apartments,neutral
28,the first installment of the cinema series concludes with a profile of finnish inventor linden whose personal artistic journey and work at has led to dozens of design awards,neutral
29,all are welcome,neutral
30,and swedish sector company ab entered into an agreement on september whereby or a subsidiary of it will make a public tender offer for all of s issued shares,positive
31,stock exchange release at s capital markets day for institutional investors and analysts is held in september starting at pm finnish time,neutral
32,we are pleased to welcome noma into group,positive
33,profit before taxes was million,neutral
34,royal dutch shell to buy bg group for nearly billion,positive
35,tm is not a press release service and receives no compensation for its news opinions or distributions,neutral
