,sentence,sentiment
0,according to the company has no plans to move all production to russia although that is where the company is growing,neutral
1,with the new production plant the company would increase its capacity to meet the expected increase in demand and would improve the use of raw materials and therefore increase the production profitability,positive
2,for the last quarter of s net sales doubled to from for the same period a year earlier while it moved to a zero pretax profit from a pretax loss of,positive
3,in the third quarter of net sales increased by to mn and operating profit by to mn,positive
4,operating profit rose to mn from mn in the corresponding period in representing of net sales,positive
5,operating profit totalled mn up from mn in representing of net sales,positive
6,said the offer is in line with its strategy to increase its ownership in core business holdings and would strengthen s offering to its customers,positive
7,credit suisse first boston raised the fair value for shares in four of the largest nordic forestry groups,positive
8,a purchase agreement for tons of gasoline with delivery at the terminal finland was signed with oil at the average index for this september plus eight us dollars per month,positive
9,finnish reports its operating profit increased to mn in from mn in and net sales totaled mn up from mn,positive
10,clothing retail chain s sales increased by to mn and operating profit rose to mn from mn in,positive
11,consolidated net sales increased to reach m while operating profit amounted to m compared to a loss of m in the prior year period,positive
12,foundries division reports its sales increased by to mn from mn in the corresponding period in and sales of the machine shop division increased by to mn from mn in the corresponding period in,positive
13,helsinki shares closed higher led by after it announced plans to team up with to manufacture g handsets and by tyres after its earnings report beat analysts expectations dealers said,positive
14,contract manufacturing services pvt a subsidiary of corporation of finland plans to double its revenues by,positive
15,its board of directors will propose a dividend of per share for up from the per share paid in,positive
16,was founded in and its revenues have risen on an average by with margins in late s,positive
17,s subscriber base increased in to million users as of december while its market share by the number of customers amounted to as of late up from as of late according to estimates,positive
18,net income from life insurance doubled to mn from mn and net income from nonlife insurance rose to mn from mn in the corresponding period in,positive
19,net sales increased to m from m and pretax profit rose by to m,positive
20,net sales surged by to m said that m or of the sales came from the acquisitions made in,positive
21,group s operating profit increased in by percent to billion euros and total revenue by percent to billion euros,positive
22,operating profit for the period increased from m while net sales increased from m as compared to the corresponding period in,positive
23,operating profit for the period increased from m and net sales increased from m as compared to the corresponding period in,positive
24,operating profit for the period increased from m while revenue increased from m as compared to the corresponding period in,positive
25,the company s net profit rose on the year to million euros in on sales of million euros up on the year the company said earlier,positive
26,the lithuanian beer market made up million liters in january a rise of percent from the figure the lithuanian brewers association reporting citing the results from its members,positive
27,viking line s cargo revenue increased by to mn and cargo volume increased by to cargo units,positive
28,the fair value of the property portfolio doubled as a result of the acquisition and totalled million,positive
29,february finnish media company hel said yesterday its net profit almost tripled to m from m for and announced a proposal for a raised payout,positive
30,a helsinki today reported of for an increase over of in,positive
31,stock exchange release february at am shipping part of group has signed a new contract with corporation for the marine transport of raw materials on the baltic sea,positive
32,commission income increased by to mn and lending volume rose by,positive
